show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,platform
s606,movie,stargirl,Julia Hart,"Grace VanderWaal, Graham Verchere, Giancarlo Esposito, Karan Brar, Darby Stanchfield, Maximiliano Hernandez",United States,2020-03-13,2020,PG,107 min,"Coming of Age, Drama, Musical",A coming-of-age story about a high schooler who finds himself drawn to the free-spirited new girl.,2020.0,3.0,Netflix
s744,movie,beauty and the beast: belle's magical world,Bob Kline,"Robby Benson, Paige O'Hara, David Stiers, Jerry Orbach, Jeff Bennett, Jim Cummings",United States,2019-11-12,1998,G,71 min,"Animation, Anthology, Fantasy","In three short stories, see Belle make a gloomy castle fit for a princess.",2019.0,11.0,Netflix
s481,movie,diary of a wimpy kid: rodrick rules,David Bowers,"Zachary Gordon, Devon Bostick, Rachael Harris, Robert Capron, Steve Zahn",United States,2020-07-03,2011,PG,100 min,"Comedy, Family","In 7th grade, Greg must bond with his brother, Rodrick while also impressing the new girl in town.",2020.0,7.0,Netflix
s679,movie,high school musical: the musical: the series: the special,Clayton Cogswell,"Joshua Bassett, Olivia Rodrigo, Sofia Wylie, Matt Cornett, Dara Renee",United States,2019-12-20,2019,TV-G,23 min,"Coming of Age, Documentary, Drama",An exclusive look into the making of High School Musical: The Musical: The Series.,2019.0,12.0,Netflix
s772,movie,camp rock,Matthew Diamond,"Demi Lovato, Joe Jonas, Meaghan Martin, Maria Canals-Barrera, Alyson Stoner, Julie Brown",United States,2019-11-12,2008,TV-G,96 min,"Coming of Age, Music, Musical",Mitchie gets the chance to spend a summer at a prestigious music camp.,2019.0,11.0,Netflix
s883,movie,expedition mars: spirit & opportunity,Mark Davis,Bray Poor,United States,2019-11-12,2019,TV-PG,88 min,Documentary,"Expedition Mars explores the epic adventures of the Mars rovers, Spirit and Opportunity.",2019.0,11.0,Netflix
s1073,movie,"mickey, donald, goofy: the three musketeers",Donovan Cook,"Wayne Allwine, Tony Anselmo, Bill Farmer, Russi Taylor, Tress MacNeille, Jim Cummings",United States,2019-11-12,2004,G,71 min,"Action-Adventure, Animation, Family",An animated version of the classic tale starring three Disney favorites.,2019.0,11.0,Netflix
s1273,movie,the emperor's new groove,Mark Dindal,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Eli Linnetz",United States,2019-11-12,2000,G,82 min,"Action-Adventure, Animation, Family",A selfish emperor learns a lesson in humility when he is turned into a llama.,2019.0,11.0,Netflix
s57,movie,rookie of the year,Daniel Stern,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Eddie Bracken",United States,2021-10-22,1993,PG,104 min,"Comedy, Family, Sports","A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!",2021.0,10.0,Netflix
s531,movie,star wars: the rise of skywalker (episode ix),J.J. Abrams,"Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac",United States,2020-05-04,2019,PG-13,142 min,"Action-Adventure, Family, Science Fiction",The landmark Skywalker saga comes to a conclusion.,2020.0,5.0,Netflix
s597,movie,the last song,Julie Robinson,"Miley Cyrus, Liam Hemsworth, Bobby Coleman, Nick Searcy, Kelly Preston, Greg Kinnear",United States,2020-04-01,2010,PG,109 min,"Coming of Age, Drama, Music",A rebellious daughter and her estranged father try to restore the loving relationship they once had.,2020.0,4.0,Netflix
s949,movie,"honey, we shrunk ourselves",Dean Cundey,"Rick Moranis, Eve Gordon, Robin Bartlett, Allison Mack, Jake Richardson, Stuart Pankin",United States,2019-11-12,1997,PG,76 min,"Action-Adventure, Comedy, Fantasy","This time, Wayne Szalinski's shrink machine is pointed at the parents!",2019.0,11.0,Netflix
s954,movie,how to build a better boy,Paul Hoen,"Ashley Argota, Roger Bart, Kelli Berglund, Noah Centineo, China McClain, Matt Shively",United States,2019-11-12,2014,TV-G,94 min,"Action-Adventure, Comedy, Science Fiction",Tech-savvy best friends use their smarts to engineer the perfect boyfriend.,2019.0,11.0,Netflix
s1111,movie,once upon a mattress,Kathleen Marshall,"Carol Burnett, Tracey Ullman, Denis O'Hare, Zooey Deschanel, Michael Boatman, Edward Hibbert",United States,2019-11-12,2005,TV-PG,88 min,"Comedy, Family, Fantasy","""A fractured retelling of the classic """"The Princess and The Pea.""""""",2019.0,11.0,Netflix
